Brand,Car Model,Car Name,Car Variant,Car Transmission,KM driven,Owner Type,Fuel Type,Registration ID,Monthly EMI,Car Price,Downpayment Amount,Location
Hyundai,2020,AURA S 1.2 CNG,AURA S 1.2 CNG,Manual,"53,586 km",2nd owner,CNG,MH05-EJ2659,"₹12,219/month",₹6.25 Lakh,On Zero down payment,"Mulund West, Mumbai"
Tata,2018,Tiago XZ PETROL,Tiago XZ PETROL,Manual,"90,317 km",1st owner,Petrol,MH14-GY4236,"₹8,016/month",₹4.1 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2022,Dzire ZXI CNG,Dzire ZXI CNG,Manual,"33,650 km",1st owner,CNG,MH43-CC2549,"₹15,399/month",₹8.09 Lakh,On Zero down payment,"Mulund West, Mumbai"
Hyundai,2021,AURA SX 1.2 (O),AURA SX 1.2 (O),Manual,"16,365 km",1st owner,Petrol,MH46-BZ5422,"₹13,470/month",₹6.89 Lakh,On Zero down payment,"Mulund West, Mumbai"
Maruti,2014,Wagon R 1.0 LXI CNG,Wagon R 1.0 LXI CNG,Manual,"69,410 km",2nd owner,CNG,MH02-DS4516,"₹9,533/month",₹2.87 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2020,Baleno ZETA PETROL 1.2,Baleno ZETA PETROL 1.2,Manual,"14,523 km",2nd owner,Petrol,MH04-KL4721,"₹12,023/month",₹6.15 Lakh,On Zero down payment,"Goregaon, Mumbai"
Honda,2017,City 1.5L I-VTEC VX,City 1.5L I-VTEC VX,Manual,"39,420 km",1st owner,Petrol,MH46-BC6633,"₹14,037/month",₹7.18 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2020,Dzire ZXI PLUS AMT,Dzire ZXI PLUS AMT,Manual,"55,907 km",2nd owner,Petrol,MH47-AU4542,"₹11,945/month",₹6.11 Lakh,On Zero down payment,"Mulund West, Mumbai"
Hyundai,2016,Elite i20 MAGNA 1.2,Elite i20 MAGNA 1.2,Manual,"26,224 km",2nd owner,Petrol,MH05-CV5392,"₹8,641/month",₹4.42 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2017,Baleno ALPHA DIESEL 1.3,Baleno ALPHA DIESEL 1.3,Manual,"73,436 km",1st owner,Diesel,MH04-HX5522,"₹11,339/month",₹5.8 Lakh,On Zero down payment,Seawood
Hyundai,2018,Grand i10 MAGNA U2 1.2 CRDI,Grand i10 MAGNA U2 1.2 CRDI,Manual,"113,120 km",1st owner,Diesel,MH46-BK6991,"₹9,632/month",₹4.33 Lakh,On Zero down payment,"Mulund West, Mumbai"
Skoda,2013,Rapid ACTIVE 1.6 TDI CR MT PLUS,Rapid ACTIVE 1.6 TDI CR MT PLUS,Manual,"56,954 km",1st owner,Diesel,MH02-CW5637,"₹11,027/month",₹3.32 Lakh,On Zero down payment,"Goregaon, Mumbai"
Maruti,2016,Swift Dzire VXI,Swift Dzire VXI,Manual,"34,315 km",1st owner,Petrol,MH05-CV0056,"₹9,247/month",₹4.73 Lakh,On Zero down payment,"Goregaon, Mumbai"
Volkswagen,2022,VIRTUS HIGHLINE TSI 1.0 MT,VIRTUS HIGHLINE TSI 1.0 MT,Manual,"15,098 km",1st owner,Petrol,MH04-LH0876,"₹22,232/month",₹11.68 Lakh,On Zero down payment,"Mulund West, Mumbai"
Hyundai,2014,Verna FLUIDIC 1.6 VTVT SX,Verna FLUIDIC 1.6 VTVT SX,Manual,"65,189 km",2nd owner,Petrol,MH02-DN9736,"₹9,699/month",₹4.36 Lakh,On Zero down payment,Seawood
