Brand,Car Model,Car Name,Car Transmission,KM driven,Owner Type,Fuel Type,Registration ID,Monthly EMI,Car Price,Downpayment Amount,Location,City
Tata,2020,Tiago XT PETROL,Manual,42969,2nd,Petrol,MH02-FJ6536,9130,467000,0,Mulund West,Mumbai
Maruti,2013,Swift Dzire VXI,Manual,47225,1st,Petrol,MH03-BH7164,9401,357000,0,Seawood,Mumbai
Hyundai,2012,i20 MAGNA 1.2,Manual,54639,1st,Petrol,MH01-BF6495,9931,299000,0,Mulund West,Mumbai
Renault,2021,Kiger RXL MT,Manual,46060,1st,Petrol,MH43-BY1701,10761,550000,0,Goregaon,Mumbai
Maruti,2014,Ciaz VDI,Manual,60741,1st,Diesel,MH02-DS8458,13615,517000,0,Goregaon,Mumbai
Renault,2020,Kwid RXT 1.0 AMT (O),Automatic,31238,1st,Petrol,MH02-FJ3993,8289,424000,0,Mulund West,Mumbai
Honda,2013,CRV 2.0L 2WD MT,Manual,101898,1st,Petrol,MH04-FZ6710,13272,504000,0,Mulund West,Mumbai
Maruti,2017,Baleno ZETA PETROL 1.2,Manual,49469,2nd,Petrol,MH05-DE0980,9110,466000,0,Mulund West,Mumbai
Maruti,2021,Dzire VXI,Manual,18343,1st,Petrol,MH01-DX1168,12590,644000,0,Goregaon,Mumbai
Hyundai,2013,i20 SPORTZ 1.2,Manual,81359,1st,Petrol,MH43-AN3680,8427,320000,0,Mulund West,Mumbai
Volkswagen,2014,Polo COMFORTLINE 1.2L,Manual,25705,1st,Petrol,MH02-DS2950,8764,394000,0,Goregaon,Mumbai
Volkswagen,2014,Polo HIGHLINE1.2L,Manual,46222,3rd,Petrol,MH02-DJ7490,7910,356000,0,Mulund West,Mumbai
Maruti,2015,Swift VXI,Manual,65318,1st,Petrol,MH04-GZ7465,7976,408000,0,Goregaon,Mumbai
Honda,2023,Amaze 1.2L I-VTEC S CVT,Automatic,8096,1st,Petrol,MH02-FY3829,15582,797000,0,Goregaon,Mumbai
Maruti,2017,Celerio VXI,Manual,34454,1st,Petrol,MH01-CP1759,7585,388000,0,Goregaon,Mumbai
Renault,2022,Kwid RXL 1.0 (O),Manual,4744,1st,Petrol,MH47-BF4264,8504,434999,0,Mulund West,Mumbai
Maruti,2012,Wagon R 1.0 VXI,Manual,30041,1st,Petrol,MH02-CL0686,8204,247000,0,Mulund West,Mumbai
Maruti,2012,Swift VXI,Manual,52004,2nd,Petrol,MH04-FF8264,10263,309000,0,Goregaon,Mumbai
Hyundai,2018,Creta SX (O) 1.6 DIESEL,Manual,66796,1st,Diesel,MH02-EU9313,19719,1036000,0,Mulund West,Mumbai
Hyundai,2015,Elite i20 SPORTZ 1.2 (O),Manual,77613,1st,Petrol,MH02-DZ1097,8837,451999,0,Mulund West,Mumbai
Volkswagen,2016,Polo GT TSI AT,Automatic,78771,1st,Petrol,MH03-CB5051,10605,542000,0,Mulund West,Mumbai
Honda,2017,City 1.5L I-VTEC ZX CVT,Automatic,43060,2nd,Petrol,MH12-PZ6623,13040,667000,0,Goregaon,Mumbai
Tata,2019,Harrier XZ 2.0L,Manual,52045,2nd,Diesel,MH04-KD4626,24668,1296000,0,Goregaon,Mumbai
Hyundai,2018,Creta SX PLUS 1.6 PETROL DUAL TONE,Manual,50556,1st,Petrol,MH05-DS7875,16407,861999,0,Seawood,Mumbai
